ipc_date,analysis_period,county,max_ipc_phase,phase_3_plus_population,total_population,phase_3_plus_percentage,rainfall_date,mean_rainfall_mm,rainfall_3_month_total,rainfall_6_month_total,rainfall_3_month_avg,rainfall_6_month_avg,date,mean_ndvi,ndvi_1_month_mean,ndvi_3_month_mean,ndvi_6_month_mean,ndvi_anomaly
2020-02-01,Feb 2020,Marsabit,4,68968,459785,0.15,2020-01-01,11.450822,103.74278354644775,174.06396162509918,34.58092784881592,29.010660270849865,2020-01-01,0.3310039828676669,0.3310039828676669,0.3544570106832945,0.2626474711026698,0.1065573171062165
2020-02-01,Feb 2020,Meru,3,38244,764885,0.05,2020-01-01,45.020275,362.0334129333496,559.8664441108704,120.67780431111652,93.3110740184784,2020-01-01,0.6953423186908546,0.6953423186908546,0.7127204854448473,0.5726838587776465,0.0664323924512239
2020-02-01,Feb 2020,Narok,2,0,1157873,0.0,2020-01-01,80.73269,295.6783752441406,420.1032104492188,98.55945841471356,70.01720174153645,2020-01-01,0.6934639499586689,0.6934639499586689,0.6344603612004993,0.5450637661845945,0.0999694757752719
2020-02-01,Feb 2020,Nyeri,2,0,198901,0.0,2020-01-01,55.162937,309.75949478149414,553.6972675323486,103.25316492716472,92.2828779220581,2020-01-01,0.7675619345548791,0.7675619345548791,0.7652234161086561,0.69845038295144,0.0322663985012611
2020-02-01,Feb 2020,Samburu,4,46549,310327,0.15,2020-01-01,15.946117,142.45990753173828,217.7327780723572,47.48663584391276,36.28879634539286,2020-01-01,0.5128954026207458,0.5128954026207458,0.5161923284648324,0.4120639436242281,0.1395622878092769
2020-02-01,Feb 2020,Taita Taveta,3,17034,340671,0.05,2020-01-01,61.320457,288.3701705932617,421.741813659668,96.1233901977539,70.29030227661133,2020-01-01,0.6355841540263223,0.6355841540263223,0.6441354956529821,0.4969696898423487,0.1177274684972365
2020-02-01,Feb 2020,Tana River,3,47391,315943,0.15,2020-01-01,23.50224,202.43957901000977,280.4251685142517,67.47985967000325,46.73752808570862,2020-01-01,0.486678996313226,0.486678996313226,0.5066376719328575,0.3773297335653454,0.1229476347098423
2020-02-01,Feb 2020,Tharaka Nithi,3,6680,133595,0.05,2020-01-01,33.328873,279.6650161743164,440.04485607147217,93.22167205810548,73.34080934524536,2020-01-01,0.6499367314254275,0.6499367314254275,0.6567672576625129,0.4861760658867091,0.1104673900497295
2020-02-01,Feb 2020,Turkana,4,139047,926976,0.15,2020-01-01,5.7834115,53.6586709022522,92.38968229293825,17.886223634084065,15.398280382156372,2020-01-01,0.2871458975620553,0.2871458975620553,0.3199278742006955,0.2796413211842999,0.0588066098062323
2020-02-01,Feb 2020,Wajir,4,117189,781260,0.15,2020-01-01,6.853437,177.0904097557068,274.23993360996246,59.0301365852356,45.70665560166041,2020-01-01,0.4317550660646958,0.4317550660646958,0.5380432973388797,0.3849920429994855,0.1360831616588137
2020-02-01,Feb 2020,West Pokot,2,0,621241,0.0,2020-01-01,11.866655,84.0045223236084,250.80475997924805,28.0015074412028,41.80079332987467,2020-01-01,0.5730148131534539,0.5730148131534539,0.6082550947567983,0.5938446722787505,0.1279473306141745
