month,national_beans_price_per_kg,national_maize_price_per_kg,national_rice_price_per_kg,national_staple_price_per_kg,national_maize_price_per_kg_3_month_avg,national_maize_price_per_kg_6_month_avg,national_beans_price_per_kg_3_month_avg,national_beans_price_per_kg_6_month_avg,national_rice_price_per_kg_3_month_avg,national_rice_price_per_kg_6_month_avg,national_staple_price_per_kg_3_month_avg,national_staple_price_per_kg_6_month_avg
2011-08-01,69.69144444444444,45.31017094017094,,57.50080769230769,47.32997150997151,40.856623931623936,72.56440740740742,72.54785185185186,,,59.94718945868946,56.702237891737894
2011-09-01,69.03833333333333,41.56230769230769,,55.300320512820505,46.06304843304843,43.02387464387464,69.41888888888889,73.84418518518518,,,57.740968660968655,58.43402991452991
2011-10-01,66.9388888888889,39.18638888888889,,53.0626388888889,42.019622507122506,43.846050569800575,68.55622222222222,72.62287037037038,,,55.28792236467236,58.23446047008547
2011-11-01,65.68511111111111,41.224141414141414,,53.45462626262626,40.65761266511266,43.99379208754209,67.22077777777777,69.89259259259259,,,53.93919522144521,56.94319234006735
2011-12-01,66.59477777777778,40.720925925925926,,53.65785185185185,40.377152076318744,43.22010025468359,66.40625925925927,67.91257407407407,,,53.391705667789005,55.56633716437883
2012-01-01,65.32777777777778,41.69461538461538,,53.511196581196586,41.21322757489424,41.61642504100838,65.86922222222222,67.21272222222223,,,53.541224898558234,54.4145736316153
2012-02-01,65.16987654320988,39.1887037037037,,52.179290123456795,40.53474833808167,40.59618050159717,65.69747736625516,66.45912757201647,,,53.116112852168406,53.527654036806815
2012-03-01,68.31086419753086,39.94323232323232,,54.12704826038159,40.275517137183805,40.32633460675127,66.26950617283951,66.33788271604938,,,53.27251165501165,53.332108661400326
2012-04-01,72.43012345679011,41.671919191919194,,57.05102132435465,40.267951739618404,40.74058965725633,68.63695473251029,67.25308847736626,,,54.45245323606434,53.99683906731129
2012-05-01,76.70599999999999,45.76474747474747,,61.235373737373735,42.45996632996633,41.497357334024,72.48232921810698,69.08990329218106,,,57.47114777403666,55.29363031310253
2012-06-01,77.32358024691358,45.45083333333333,,61.38720679012346,44.29583333333333,42.285675235258566,75.48656790123455,70.87803703703703,,,59.89120061728394,56.5818561361478
2012-07-01,67.75283950617285,45.06166666666667,,56.40725308641976,45.425749158249154,42.846850448933786,73.9274732510288,71.28221399176954,,,59.67661120463898,57.06453222035166
2012-08-01,62.047916666666666,44.29175925925926,,53.16983796296296,44.934753086419754,43.69735970819304,69.04144547325103,70.76188734567901,,,56.98809927983539,57.229623526936024
2012-09-01,60.458730158730155,43.871,,52.16486507936508,44.40814197530864,44.351987654320986,63.419828777189885,69.45319833921222,,,53.913985376249265,56.90259299676661
2012-10-01,64.01407407407407,42.408796296296295,,53.21143518518518,43.52385185185185,44.4748005050505,62.17357363315696,68.05052344209288,,,52.848712742504404,56.26266197357169
2012-11-01,63.096790123456785,42.19148148148148,,52.64413580246914,42.823759259259255,43.8792561728395,62.52319811875367,65.78232179600235,,,52.673478689006465,54.83078898442093
2012-12-01,62.810246913580244,41.81787037037037,,52.31405864197531,42.139382716049376,43.27376234567901,63.30703703703703,63.363432907113456,,,52.7232098765432,53.31859762639624
2013-01-01,60.99691358024691,39.89925925925926,,50.44808641975308,41.302870370370364,42.41336111111111,62.301316872427975,62.23744525279247,,,51.80209362139917,52.32540318195179
