county,date,mean_ndvi,ndvi_1_month_mean,ndvi_3_month_mean,ndvi_6_month_mean,ndvi_anomaly
Baringo,2025-01-01,0.4916339273698215,0.4916339273698215,0.5244253985094405,0.567752786179879,0.03710340126099981
Baringo,2025-02-01,0.4133231534503974,0.4133231534503974,0.4929853169683615,0.5222857673184298,0.0005669823984899014
Baringo,2025-03-01,0.4892257066691408,0.4892257066691408,0.46472759582978657,0.5007023760616144,0.047796662537650914
Baringo,2025-04-01,0.6412840701308021,0.6412840701308021,0.5146109767501135,0.5195181876297769,0.09859580425470016
Baringo,2025-05-01,0.6438686060373621,0.6438686060373621,0.5914594609457683,0.5422223889570649,0.05339551534813003
Baringo,2025-06-01,0.5816470073569558,0.5816470073569558,0.6222665611750401,0.5434970785024132,0.014888625787983889
Baringo,2025-07-01,0.5861615853486948,0.5861615853486948,0.6038923995810043,0.5592516881655588,0.009524833317895887
Baringo,2025-08-01,0.6410698551637242,0.6410698551637242,0.6029594826231249,0.5972094717844466,0.03399233510824573
Baringo,2025-09-01,0.5932691789235233,0.5932691789235233,0.6068335398119808,0.6145500504935103,0.0269192908680409
Baringo,2025-10-01,0.5832004990051024,0.5832004990051024,0.6058465110307832,0.6048694553058938,0.04999601571760803
Baringo,2025-11-01,0.5874313921834146,0.5874313921834146,0.5879670233706801,0.5954632529969025,0.05000248609157132
Baringo,2025-12-01,0.524124494867728,0.524124494867728,0.5649187953520817,0.5858761675820312,0.012800870086096872
Baringo,2026-01-01,0.4754408708655405,0.4754408708655405,0.5289989193055611,0.5674227151681722,0.020910344756718824
Baringo,2026-02-01,0.4765569533975038,0.4765569533975038,0.4920407730435908,0.5400038982071355,0.06380078234559633
Baringo,2026-03-01,0.6561894346812075,0.6561894346812075,0.536062419648084,0.5504906075000827,0.21476039054971763
Baringo,2026-04-01,0.6560906306053244,0.6560906306053244,0.596279006228012,0.5626389627667865,0.11340236472922238
Embu,2019-01-01,0.7601219363870044,0.7601219363870044,0.7601219363870044,0.7601219363870044,-0.008675492792617923
Embu,2019-02-01,0.6899147219836549,0.6899147219836549,0.7250183291853296,0.7250183291853296,-0.0303880092817288
Embu,2019-03-01,0.6517257133797834,0.6517257133797834,0.7005874572501476,0.7005874572501476,-0.06577619926290434
Embu,2019-04-01,0.6885154830752095,0.6885154830752095,0.6767186394795491,0.697569463706413,-0.08886861870733465
Embu,2019-05-01,0.7492422387810507,0.7492422387810507,0.6964944784120144,0.7079040187213406,-0.03152416715508688
Embu,2019-06-01,0.7100590976667112,0.7100590976667112,0.7159389398409904,0.708263198545569,-0.02682276226072
Embu,2019-07-01,0.680919188209219,0.680919188209219,0.7134068415523269,0.6950627405159381,-0.0046350252317655105
Embu,2019-08-01,0.648904059778263,0.648904059778263,0.6799607818847311,0.6882276301483728,-0.04314660091622746
Embu,2019-09-01,0.6343032498530232,0.6343032498530232,0.6547088326135018,0.685323886227246,-0.034279731852152384
Embu,2019-10-01,0.7350700135701083,0.7350700135701083,0.6727591077337983,0.6930829746430626,0.022962570002845184
Embu,2019-11-01,0.786721258620301,0.786721258620301,0.7186981740144774,0.6993294779496043,0.025318755450261188
Embu,2019-12-01,0.801064392712652,0.801064392712652,0.7742852216343538,0.7144970271239277,0.009115080803996034
Embu,2020-01-01,0.7904041953849305,0.7904041953849305,0.792729948905961,0.7327445283198797,0.021606766205308103
Embu,2020-02-01,0.7805142857021777,0.7805142857021777,0.7906609579332534,0.7546795659738654,0.060211554436794046
Embu,2020-03-01,0.7764277672461757,0.7764277672461757,0.7824487494444279,0.7783669855393908,0.05892585460348798
Embu,2020-04-01,0.7601290211173666,0.7601290211173666,0.7723570246885734,0.7825434867972673,-0.017255080665177558
Embu,2020-05-01,0.8057265587501214,0.8057265587501214,0.7807611157045545,0.785711036818904,0.024960152813983894
Embu,2020-06-01,0.768524740400734,0.768524740400734,0.7781267734227407,0.7802877614335842,0.03164288047330288
Embu,2020-07-01,0.6801686366586343,0.6801686366586343,0.7514733119364966,0.761915168312535,-0.005385576782350299
Embu,2020-08-01,0.6851105419084893,0.6851105419084893,0.7112679729892859,0.7460145443469202,-0.006940118786001204
Embu,2020-09-01,0.6762535254028484,0.6762535254028484,0.680510901323324,0.7293188373730324,0.007670543697672838
Embu,2020-10-01,0.7448137356647431,0.7448137356647431,0.7020592676586936,0.7267662897975949,0.032706292097479994
Embu,2020-11-01,0.7833527895068151,0.7833527895068151,0.7348066835248023,0.723037328257044,0.021950286336775315
Embu,2020-12-01,0.7819922038091823,0.7819922038091823,0.7700529096602469,0.7252819054917854,-0.009957108099473588
Embu,2021-01-01,0.7778609047819075,0.7778609047819075,0.7810686326993016,0.7415639501789976,0.009063475602285154
Embu,2021-02-01,0.7347280267075595,0.7347280267075595,0.7648603784328832,0.7498335309788425,0.014425295442175856
Embu,2021-03-01,0.6997715803111488,0.6997715803111488,0.7374535039335387,0.7537532067968927,-0.017730332331538867
Embu,2021-04-01,0.8062254364680603,0.8062254364680603,0.7469083478289229,0.7639884902641123,0.028841334685516196
Embu,2021-05-01,0.7481331591357525,0.7481331591357525,0.7513767253049872,0.7581185518689351,-0.03263324680038504
Embu,2021-06-01,0.6983787122810886,0.6983787122810886,0.7509124359616338,0.7441829699475861,-0.03850314764634255
Embu,2021-07-01,0.7303368563640701,0.7303368563640701,0.7256162425936371,0.73626229521128,0.044782642923085536
Embu,2021-08-01,0.677369790700543,0.677369790700543,0.702028453115234,0.7267025892101105,-0.014680869993947465
Embu,2021-09-01,0.6282636951318672,0.6282636951318672,0.6786567807321601,0.714784608346897,-0.04031928657330841
Embu,2021-10-01,0.672624258825858,0.672624258825858,0.6594192482194227,0.6925177454065299,-0.03948318474140511
Embu,2021-11-01,0.7066110646311363,0.7066110646311363,0.6691663395296206,0.6855973963224272,-0.05479143853890345
Embu,2021-12-01,0.8057319343314397,0.8057319343314397,0.7283224192628114,0.7034895999974857,0.01378262242278383
Embu,2022-01-01,0.7702618523687625,0.7702618523687625,0.7608682837771129,0.7101437659982679,0.001464423189140196
Embu,2022-02-01,0.7008945481074426,0.7008945481074426,0.7589627782692149,0.7140645588994178,-0.019408183157941128
Embu,2022-03-01,0.6609486191385204,0.6609486191385204,0.7107016732049085,0.7195120462338599,-0.05655329350416727
Embu,2022-04-01,0.7519050319226664,0.7519050319226664,0.7045827330562098,0.7327255084166614,-0.02547906985987769
Embu,2022-05-01,0.770181797007674,0.770181797007674,0.7276784826896203,0.7433206304794177,-0.01058460892846358
Embu,2022-06-01,0.7343534342253,0.7343534342253,0.7521467543852135,0.731424213795061,-0.0025284257021311873
Embu,2022-07-01,0.6470554714661713,0.6470554714661713,0.7171969008997151,0.7108898169779625,-0.03849874197481329
Embu,2022-08-01,0.6759581377492611,0.6759581377492611,0.685789014480244,0.7067337485849321,-0.016092522945229448
Embu,2022-09-01,0.6180538229892266,0.6180538229892266,0.647022477401553,0.6995846158933832,-0.050529158715948985
Embu,2022-10-01,0.662449978466997,0.662449978466997,0.6521539797351615,0.6846754403174383,-0.04965746510026603
Embu,2022-11-01,0.6851607424653166,0.6851607424653166,0.6552215146405134,0.6705052645603787,-0.07624176070472322
Embu,2022-12-01,0.7959598480794835,0.7959598480794835,0.7145235230039324,0.6807730002027427,0.004010536170827583
Embu,2023-01-01,0.7542136652918693,0.7542136652918693,0.7451114186122231,0.6986326991736923,-0.014583763887753065
