date,analysis_period,county,max_ipc_phase,phase_3_plus_population,total_population,phase_3_plus_percentage
2026-02-01,Feb 2026,Kitui,3,188850,1259000,0.15
2026-02-01,Feb 2026,Kwale,3,197600,988000,0.2
2026-02-01,Feb 2026,Laikipia,3,29150,583000,0.05
2026-02-01,Feb 2026,Lamu,3,26400,176000,0.15
2026-02-01,Feb 2026,Makueni,3,159750,1065000,0.15
2026-02-01,Feb 2026,Mandera,4,503500,1007000,0.5
2026-02-01,Feb 2026,Marsabit,4,134750,539000,0.25
2026-02-01,Feb 2026,Meru,3,198800,994000,0.2
2026-02-01,Feb 2026,Narok,3,67750,1355000,0.05
2026-02-01,Feb 2026,Nyeri,3,11175,223500,0.05
2026-02-01,Feb 2026,Samburu,4,91750,367000,0.25
2026-02-01,Feb 2026,Taita Taveta,3,18650,373000,0.05
2026-02-01,Feb 2026,Tana River,4,185000,370000,0.5
2026-02-01,Feb 2026,Tharaka Nithi,3,42705,284700,0.15
2026-02-01,Feb 2026,Turkana,4,322200,1074000,0.3
2026-02-01,Feb 2026,Wajir,4,274500,915000,0.3
2026-02-01,Feb 2026,West Pokot,3,70600,706000,0.1
