date,year,month,county,mean_rainfall_mm,source_file
2019-08-01,2019,8,Laikipia,40.418316,chirps-v2.0.2019.08.tif
2019-08-01,2019,8,Lamu,10.900412,chirps-v2.0.2019.08.tif
2019-08-01,2019,8,Makueni,3.9796128,chirps-v2.0.2019.08.tif
2019-08-01,2019,8,Mandera,2.010253,chirps-v2.0.2019.08.tif
2019-08-01,2019,8,Marsabit,2.3564522,chirps-v2.0.2019.08.tif
2019-08-01,2019,8,Meru,7.482509,chirps-v2.0.2019.08.tif
2019-08-01,2019,8,Narok,38.03501,chirps-v2.0.2019.08.tif
2019-08-01,2019,8,Nyeri,36.475883,chirps-v2.0.2019.08.tif
2019-08-01,2019,8,Samburu,10.549591,chirps-v2.0.2019.08.tif
2019-08-01,2019,8,Taita Taveta,17.94899,chirps-v2.0.2019.08.tif
2019-08-01,2019,8,Tana River,7.340079,chirps-v2.0.2019.08.tif
2019-08-01,2019,8,Tharaka Nithi,4.0602627,chirps-v2.0.2019.08.tif
2019-08-01,2019,8,Turkana,11.4210615,chirps-v2.0.2019.08.tif
2019-08-01,2019,8,Wajir,1.5385734,chirps-v2.0.2019.08.tif
2019-08-01,2019,8,West Pokot,59.72039,chirps-v2.0.2019.08.tif
2019-09-01,2019,9,Baringo,32.34783,chirps-v2.0.2019.09.tif
2019-09-01,2019,9,Embu,8.944379,chirps-v2.0.2019.09.tif
2019-09-01,2019,9,Garissa,9.957075,chirps-v2.0.2019.09.tif
2019-09-01,2019,9,Isiolo,0.78810173,chirps-v2.0.2019.09.tif
2019-09-01,2019,9,Kajiado,2.661776,chirps-v2.0.2019.09.tif
2019-09-01,2019,9,Kilifi,32.604195,chirps-v2.0.2019.09.tif
2019-09-01,2019,9,Kitui,5.2204294,chirps-v2.0.2019.09.tif
2019-09-01,2019,9,Kwale,43.315605,chirps-v2.0.2019.09.tif
2019-09-01,2019,9,Laikipia,24.244226,chirps-v2.0.2019.09.tif
2019-09-01,2019,9,Lamu,14.566272,chirps-v2.0.2019.09.tif
2019-09-01,2019,9,Makueni,2.7049909,chirps-v2.0.2019.09.tif
2019-09-01,2019,9,Mandera,1.6339593,chirps-v2.0.2019.09.tif
2019-09-01,2019,9,Marsabit,1.7710155,chirps-v2.0.2019.09.tif
2019-09-01,2019,9,Meru,9.526624,chirps-v2.0.2019.09.tif
2019-09-01,2019,9,Narok,33.917686,chirps-v2.0.2019.09.tif
2019-09-01,2019,9,Nyeri,29.10285,chirps-v2.0.2019.09.tif
