county,month,county_beans_price_per_kg,county_maize_price_per_kg,county_rice_price_per_kg,county_staple_price_per_kg,county_price_available,county_staple_items_available,county_maize_price_per_kg_3_month_avg,county_maize_price_per_kg_6_month_avg,county_beans_price_per_kg_3_month_avg,county_beans_price_per_kg_6_month_avg,county_rice_price_per_kg_3_month_avg,county_rice_price_per_kg_6_month_avg,county_staple_price_per_kg_3_month_avg,county_staple_price_per_kg_6_month_avg
Garissa,2018-03-01,,65.0,,65.0,1,1,65.0,65.0,,,,,65.0,65.0
Garissa,2018-04-01,,80.0,,80.0,1,1,70.0,67.5,,,,,70.0,67.5
Garissa,2018-05-01,,60.0,,60.0,1,1,68.33333333333333,66.66666666666667,,,,,68.33333333333333,66.66666666666667
Garissa,2018-06-01,,60.0,,60.0,1,1,66.66666666666667,65.83333333333333,,,,,66.66666666666667,65.83333333333333
Garissa,2018-07-01,,60.0,,60.0,1,1,60.0,65.0,,,,,60.0,65.0
Garissa,2018-08-01,,60.0,,60.0,1,1,60.0,64.16666666666667,,,,,60.0,64.16666666666667
Garissa,2018-09-01,,60.0,,60.0,1,1,60.0,63.333333333333336,,,,,60.0,63.333333333333336
Garissa,2018-10-01,,60.0,,60.0,1,1,60.0,60.0,,,,,60.0,60.0
Garissa,2018-11-01,,60.0,,60.0,1,1,60.0,60.0,,,,,60.0,60.0
Garissa,2018-12-01,120.0,60.0,120.0,100.0,1,3,60.0,60.0,120.0,120.0,120.0,120.0,73.33333333333333,66.66666666666667
Garissa,2019-01-01,120.0,65.0,120.0,101.66666666666667,1,3,61.666666666666664,60.833333333333336,120.0,120.0,120.0,120.0,87.22222222222223,73.61111111111111
Garissa,2019-02-01,,65.0,,65.0,1,1,63.333333333333336,61.666666666666664,120.0,120.0,120.0,120.0,88.8888888888889,74.44444444444444
Garissa,2019-03-01,,65.0,,65.0,1,1,65.0,62.5,120.0,120.0,120.0,120.0,77.22222222222223,75.27777777777779
Garissa,2019-04-01,,65.0,,65.0,1,1,65.0,63.333333333333336,,120.0,,120.0,65.0,76.11111111111111
Garissa,2019-05-01,,65.0,,65.0,1,1,65.0,64.16666666666667,,120.0,,120.0,65.0,76.94444444444444
Garissa,2019-06-01,,67.0,,67.0,1,1,65.66666666666667,65.33333333333333,,120.0,,120.0,65.66666666666667,71.44444444444444
Garissa,2019-07-01,,68.0,,68.0,1,1,66.66666666666667,65.83333333333333,,,,,66.66666666666667,65.83333333333333
Garissa,2019-08-01,,68.0,,68.0,1,1,67.66666666666667,66.33333333333333,,,,,67.66666666666667,66.33333333333333
